,comercio_id,mes_operacion,estado,moneda,num_transacciones,monto_transaccion,monto_contracargo_venta
320,38,01/07/21,ERROR,MXN,205,80337.0,0.0
321,38,01/08/21,COMPLETED,MXN,"30,984",24067866.0,169192.0
322,38,01/08/21,FAILED,MXN,"24,128",24394967.0,0.0
323,38,01/08/21,EXPIRED,MXN,"1,099",938700.0,0.0
324,38,01/08/21,IN_PROGRESS,MXN,785,590175.0,0.0
325,38,01/08/21,ERROR,MXN,36,29949.0,0.0
326,39,01/07/21,COMPLETED,MXN,"21,426",3934431.42,49775.57
327,39,01/07/21,FAILED,MXN,"16,336",3102272.06,0.0
328,39,01/07/21,IN_PROGRESS,MXN,"3,017",499028.39,0.0
329,39,01/07/21,EXPIRED,MXN,"2,366",584677.78,0.0
330,39,01/07/21,CANCELLED,MXN,"2,175",253384.2,0.0
331,39,01/07/21,ERROR,MXN,78,20743.26,0.0
332,39,01/08/21,COMPLETED,MXN,"23,745",3983671.34,73896.95
333,39,01/08/21,FAILED,MXN,"17,750",3693652.27,0.0
334,39,01/08/21,IN_PROGRESS,MXN,"3,945",663422.38,0.0
335,39,01/08/21,EXPIRED,MXN,"3,075",915367.11,0.0
336,39,01/08/21,CANCELLED,MXN,"2,273",1268604.81,0.0
337,39,01/08/21,ERROR,MXN,31,9577.86,0.0
338,40,01/07/21,COMPLETED,MXN,"26,234",4504672.34,0.0
339,40,01/07/21,IN_PROGRESS,MXN,"11,332",1897482.64,0.0
340,40,01/07/21,FAILED,MXN,"2,406",789098.6,0.0
341,40,01/07/21,CANCELLED,MXN,"1,413",299840.86,0.0
342,40,01/07/21,EXPIRED,MXN,416,175971.0,0.0
343,40,01/07/21,ERROR,MXN,39,12310.0,0.0
344,40,01/08/21,COMPLETED,MXN,"30,968",4774002.2,0.0
345,40,01/08/21,IN_PROGRESS,MXN,"13,599",2005451.2,0.0
346,40,01/08/21,FAILED,MXN,"2,847",817395.87,0.0
347,40,01/08/21,CANCELLED,MXN,"1,377",276450.96,0.0
348,40,01/08/21,EXPIRED,MXN,464,185579.0,0.0
349,40,01/08/21,ERROR,MXN,6,2769.0,0.0
350,41,01/07/21,COMPLETED,MXN,"27,542",11684631.0,28844.9
351,41,01/07/21,FAILED,MXN,"9,625",5285215.48,0.0
352,41,01/07/21,IN_PROGRESS,MXN,"1,784",781323.08,0.0
